2016-05-22 13:33:50,XiaomiMi5.jpg,Xiaomi Mi5,ba,+ 387 061/456-987,Xiaomi Mi5 ostvario rezultat preko 170 hiljada na Antutu 6
2016-05-22 11:25:10,apple6s.jpg,Apple 6s,ba,+ 387 062/852-852,Apple iphone 6s je najnoviji Apple-ov smartphone koji dolazi sa novim ekranom osjetljivim na dodir. Detaljnu recenziju proèitajte u nastavku...
2016-05-19 13:33:50,samsungs7.jpg,Samsung Galaxy S7,hr,+ 385 644-856,Samsungov najnoviji flagship ureðaj za 2016 godinu. Za detaljan review kliknite na sliku.
2016-04-22 10:35:00,android6tips.jpg,Android 6.0,hr,+ 385 211-853,Korisni savjeti i trikovi u Android 6.0
2016-04-02 21:01:00,s7edge.jpg,Samsung Galaxy S7 Edge,hr,+ 385 411-411,Galaxy S7 Edge ima problema sa edge ekranom. Kliknite da proèitate više.
2016-04-02 21:05:00,appleIpad.jpg,Apple Ipad 9.7,ba,+ 387 222-563,Apple-ov novi 9.7 inèni iPad æe koštati više nego iPad Air 2. Kliknite da proèitate više.
2016-03-30 20:49:00,htc10.jpg,HTC 10,ba,+387 563-852,HTC 10 æe imati 5.1-inèni ekran sa rezolucijom 1440 x 2560. Snapdragon 820 èip je unutar sa èetvero jezgrenim CPU-om.
2016-03-28 20:49:00,windowsphone.jpg,Windows Phone,rs,+ 386 845-963,Microsoft priznaje da Windows Phone nije prioritet ove godine.
2016-04-01 20:49:00,iphone5se.jpg,Iphone 5se,ba,+387 062/456-987,Narudžbe Apple-ovih procesora manje ove godine nego prošle?
2016-03-27 20:49:00,iphonesebattery.jpg,Iphone SE battery,ba,+ 387 400-800,iPhone SE ima veæu bateriju od iPhone 5s.
2016-04-03 10:21:00,games.jpg,Games discount,rs,+ 386 255-133,Aplikacije na sniženju za android i iphone.
2016-04-22 12:49:00,huaweip9.jpg,Huawei P9,hr,+ 385 100-100,Huawei P9 sa 4GB  RAM-a i 64 GB-a prostora za podatke dolazi uskoro?
2016-01-25 12:12:12,samsung.jpg,samsung a9,ba,+ 387 062/455-899,samsung poslao update na ap model.
2016-05-22 09:00:00,beze.jpg,treba ovo prikazati,ba,+ 387 062/455-899,samo da radi. n
2016-05-22 19:12:25,beze.jpg,beze,ba,+ 387 062/455-899,treba ici bez ovog zareza
2016-05-22 19:20:25,iphone5se.jpg,iphone 5se,ba,+ 387 062/455-899,sada treba?!?error raditi
